id_sinistro;tipo_registro;data_sinistro;ano_sinistro;mes_sinistro;dia_sinistro;hora_sinistro;ano_mes_sinistro;dia_da_semana;turno;logradouro;numero_logradouro;tipo_via;tipo_local;latitude;longitude;cod_ibge;municipio;regiao_administrativa;administracao;conservacao;circunscricao;tp_sinistro_primario;qtd_pedestre;qtd_bicicleta;qtd_motocicleta;qtd_automovel;qtd_onibus;qtd_caminhao;qtd_veic_outros;qtd_veic_nao_disponivel;qtd_gravidade_fatal;qtd_gravidade_grave;qtd_gravidade_leve;qtd_gravidade_ileso;qtd_gravidade_nao_disponivel;tp_sinistro_atropelamento;tp_sinistro_colisao_frontal;tp_sinistro_colisao_traseira;tp_sinistro_colisao_lateral;tp_sinistro_colisao_transversal;tp_sinistro_colisao_outros;tp_sinistro_choque;tp_sinistro_capotamento;tp_sinistro_engavetamento;tp_sinistro_tombamento;tp_sinistro_outros;tp_sinistro_nao_disponivel
1265457;NOTIFICACAO;01/01/2022;2022;01;01;05:12;2022/01;Sábado;MADRUGADA;RUA VEREADOR NELSON GUIRALDELI;100.0;VIAS URBANAS;NAO DISPONIVEL;-22,43486849;-46,82488956;3522604;ITAPIRA;CAMPINAS;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1301846;NOTIFICACAO;01/01/2022;2022;01;01;05:39;2022/01;Sábado;MADRUGADA;RUA MARECHAL HUMBERTO DE ALENÇAR CASTELO BRANCO;165.0;VIAS URBANAS;NAO DISPONIVEL;-23,66587876;-46,79834311;3515004;EMBU DAS ARTES;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1352130;NOTIFICACAO;01/01/2022;2022;01;01;00:36;2022/01;Sábado;MADRUGADA;AVENIDA JOSÉ BARBOSA DE SIQUEIRA;899.0;VIAS URBANAS;NAO DISPONIVEL;-23,54914547;-46,80854472;3534401;OSASCO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;NAO DISPONIVEL;;;;;;;;;;;;;;;;;;;;;;;;;S
2279865;NOTIFICACAO;01/01/2022;2022;01;01;07:02;2022/01;Sábado;MANHA;RUA TEIXEIRA LOPES;100.0;VIAS URBANAS;NAO DISPONIVEL;-23,65826053;-46,78901278;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1444289;NOTIFICACAO;01/01/2022;2022;01;01;07:28;2022/01;Sábado;MANHA;RUA GENEROSA MOREIRA DE ALMEIDA;100.0;VIAS URBANAS;NAO DISPONIVEL;-23,37972456;-46,44241336;3518800;GUARULHOS;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1322053;SINISTRO NAO FATAL;01/01/2022;2022;01;01;05:56;2022/01;Sábado;MADRUGADA;RUA ALFONSO ASTURARO;226.0;VIAS URBANAS;PUBLICO;-23,58555504;-46,39484295;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;CHOQUE;;;1;;;;;;;;2;;;;;;;;;S;;;;;
1523084;NOTIFICACAO;01/01/2022;2022;01;01;09:05;2022/01;Sábado;MANHA;RUA MANOEL DEL ARCO;383.0;VIAS URBANAS;NAO DISPONIVEL;-20,76792779;-49,39231062;3549805;SAO JOSE DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;PREFEITURA;PREFEITURA;MUNICIPAL;ATROPELAMENTO;;;;;;;;;;;;;;S;;;;;;;;;;;
1565068;NOTIFICACAO;01/01/2022;2022;01;01;09:59;2022/01;Sábado;MANHA;AVENIDA JOSE DA NATIVIDADE SALDANHA;0.0;VIAS URBANAS;NAO DISPONIVEL;-23,47368385;-46,68412506;3550308;SAO PAULO;METROPOLITANA DE SÃO PAULO;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
2301039;NOTIFICACAO;01/01/2022;2022;01;01;10:53;2022/01;Sábado;MANHA;ESTRADA DA SERRA DA PAULISTA;100.0;VIAS URBANAS;NAO DISPONIVEL;-22,00036822;-46,78027009;3549102;SAO JOAO DA BOA VISTA;CAMPINAS;PREFEITURA;PREFEITURA;MUNICIPAL;OUTROS;;;;;;;;;;;;;;;;;;;;;;;;S;
1510588;SINISTRO NAO FATAL;01/01/2022;2022;01;01;03:30;2022/01;Sábado;MADRUGADA;SP 055;102.0;ESTRADAS E RODOVIAS;PUBLICO;-23,625469111;-45,4235180652;3510500;CARAGUATATUBA;SÃO JOSÉ DOS CAMPOS;DER;;ESTADUAL;COLISAO;;;1;1;;;;;;;2;;;;;;S;;;;;;S;;
