id_sinistro;id_veiculo;marca_modelo;ano_fab;ano_modelo;cor_veiculo;tipo_veiculo;data_sinistro;ano_sinistro;mes_sinistro;dia_sinistro;ano_mes_sinistro
1812429;978503;FORD/VERSAILLES 2.0 GL;1993;1993;AZUL;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1846792;814943;;;;;NAO DISPONIVEL;01/01/2022;2022;01;01;2022/01
2118232;1092367;HONDA/CG 160 FAN;2020;2020;VERMELHA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1287076;2326791;FIAT/PALIO FIRE FLEX;2007;2008;PRETA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1287076;143175;HONDA/CIVIC LXS FLEX;2008;2008;PRETA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1416507;260551;FIAT/PALIO ATTRACTIV 1.0;2016;2016;PRETA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1686400;601103;GM/CORSA MILENIUM;2001;2002;CINZA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1686400;2547772;HONDA/NXR160 BROS ESDD;2015;2015;VERMELHA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
2318239;663869;VW/VOYAGE TL MA S;2015;2015;BRANCA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1759096;2568873;VW/NOVA SAVEIRO RB MBVS;2017;2018;BRANCA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1759096;724730;ONIX;;;;NAO DISPONIVEL;01/01/2022;2022;01;01;2022/01
1759096;2614817;CHEV/ONIX JOY;2020;2020;PRATA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1809376;765189;NISSAN/FRONTIER XE 25 X2;2009;2010;PRATA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
2309521;780849;VW/GOL 1.0L MC4;2021;2022;CINZA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1820312;984095;;;;;NAO DISPONIVEL;01/01/2022;2022;01;01;2022/01
1334206;216518;HYUNDAI/HB20 1.6A COMF;2015;2016;MARROM;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1510855;476225;HONDA/FIT LX CVT;2016;2016;CINZA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1510855;2445071;HONDA/CG 125 TITAN;1999;2000;VERMELHA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1560478;402243;GM/VECTRA GLS;1998;1998;CINZA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1560478;2466979;VW/NOVO GOL TL MCV;2016;2017;BRANCA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1597403;459558;HONDA/BIZ 125;2021;2021;BRANCA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1597403;2513895;RENAULT/KWID INTENS 10MT;2017;2018;BRANCA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1721813;767900;FORD/FIESTA SEDAN1.6FLEX;2009;2010;PRATA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1809550;602065;FIAT/UNO MILLE ECONOMY;2008;2009;PRATA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1881677;778779;;;;;NAO DISPONIVEL;01/01/2022;2022;01;01;2022/01
1305958;191225;DAFRA/RIVA 150;2013;2013;PRETA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
2464210;2285353;GM/CELTA 2P SPIRIT;2005;2006;Prata;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
2464210;11937;HONDA/CG150 FAN ESDI;2013;2013;Preta;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1781645;809977;FIAT/DOBLO HLX 1.8 FLEX;2009;2009;CINZA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
2305557;829989;HONDA/CB 500F;2014;2014;BRANCA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1848656;947513;VW/NOVO FOX TL MA;2014;2015;BRANCA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
2160736;1361420;FORD/FIESTA SEDAN FLEX;2008;2009;PRATA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
2471000;25543;M.BENZ/LS 1935;1997;1997;Branco;CAMINHAO;01/01/2022;2022;01;01;2022/01
2477940;40233;MMC/ASX 2.0 AWD CVT;2013;2014;Cinza;OUTROS;01/01/2022;2022;01;01;2022/01
1390305;298535;HONDA/BIZ 125;2018;2019;VERMELHA;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1575925;385523;GM/CORSA SEDAN JOY;2004;2005;BEGE;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1703029;723421;AUDI/A3 1.8;2003;2004;PRETA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1733573;2611338;FORD/KA SE 1.0 HA C;2019;2020;PRETA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1733573;701020;CHEV/ONIX 10MT LT2;2021;2022;BRANCA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1783118;857597;GM/CORSA HATCH MAXX;2005;2006;PRETA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1766509;2644571;HONDA/CG 150 JOB;2005;2006;AZUL;MOTOCICLETA;01/01/2022;2022;01;01;2022/01
1766509;754137;FIAT/SIENA FIRE FLEX;2007;2008;PRATA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1785362;638429;HYUNDAI/HB20 1.0M 1.0 M;2012;2013;VERMELHA;AUTOMOVEL;01/01/2022;2022;01;01;2022/01
1921252;763389;;;;;NAO DISPONIVEL;01/01/2022;2022;01;01;2022/01
