variavel	nome	descricao	tipo	formato	fonte	valores	nulos	observacao
id_sinistro	Identificador do sinistro	Identificador único do sinistro (chave primária)	int64	Número inteiro	DETRAN-SP	Número sequencial de 7 dígitos gerado pelo sistema Infosiga.	não	Único.
tipo_registro	Tipo de registro	Tipo de registro se refere à classificação do registro de ocorrência de trânsito conforme a sua natureza, diferenciando se se trata de sinistro com vítima fatal, sinistro não fatal ou notificação de ocorrência.	string	Texto predefinido	DETRAN-SP	SINISTRO FATAL|SINISTRO NAO FATAL|NOTIFICACAO	não	SINISTRO FATAL: ocorrência com pelo menos um óbito em até 30 dias pós-sinistro. SINISTRO NÃO FATAL: ocorrência com pelo menos uma vítima ferida e sem registro de óbitos em até 30 dias após o sinistro. NOTIFICAÇÃO: registro de ocorrência na central sem boletim de ocorrência formal.
data_sinistro	Data do sinistro	Data em que ocorreu o sinistro	date	Data no formato dd/mm/aaaa	PC, PM e PRF	Entre 21/12/2014 e 31/12/2021 no arquivo "sinistros_2015-2021", e maior ou igual a 01/01/2022 no arquivo "sinistros_2022-2026".	não	
ano_sinistro	Ano do sinistro	Ano em que ocorreu o sinistro	int64	Número inteiro (4 dígitos)	DETRAN-SP	Entre 2014 e 2021 no arquivo "sinistros_2015-2021", e maior que 2022 no arquivo "sinistros_2022-2026".	não	
mes_sinistro	Mês do sinistro	Mês em que ocorreu o sinistro	int64	Número inteiro (2 dígitos)	DETRAN-SP	1 a 12	não	
dia_sinistro	Dia do sinistro	Dia em que ocorreu o sinistro	int64	Número inteiro (2 dígitos)	DETRAN-SP	1 a 31	não	
hora_sinistro	Hora do sinistro	Hora em que ocorreu o sinistro	time	Hora no formato HH:MM	PC, PM e PRF	00:00 a 23:59	sim	
ano_mes_sinistro	Ano e mês do sinistro	Agrupamento do ano_sinistro com mes_sinistro	string	Texto no formato aaaa/mm	DETRAN-SP	Entre 2015/01 e 2021/12 no arquivo "sinistros_2015-2021", e maior ou igual a 2022/01 no arquivo "sinistros_2022-2026".	não	
dia_da_semana	Dia da semana	Dia da semana	string	Texto predefinido	DETRAN-SP	Domingo|Segunda-feira|Terça-feira|Quarta-feira|Quinta-feira|Sexta-feira|Sábado	não	
turno	Turno	Turno do dia	string	Texto predefinido	DETRAN-SP	MADRUGADA|MANHA|TARDE|NOITE|NAO DISPONIVEL	não	Madrugada: 00:00 às 05:59. Manhã: 06:00 às 11:59. Tarde: 12:00 às 17:59. Noite: 18:00 às 23:59.
logradouro	Logradouro	Logradouro onde ocorreu o sinistro	string	Texto livre	PC, PM e PRF	Livre	sim	
numero_logradouro	Número do logradouro	Numeral da via onde ocorreu o sinistro	int64	Número sem formato definido	PC, PM e PRF	Livre	sim	O formato da numeração pode variar dependendo do tipo de via e do órgão de origem.
tipo_via	Tipo da via	Tipo da via onde ocorreu o sinistro	string	Texto predefinido	PC, PM e PRF	ESTRADAS E RODOVIAS|VIAS URBANAS|NAO DISPONIVEL	não	
tipo_local	Tipo de local	Tipo de local onde ocorreu o sinistro	string	Texto predefinido	DETRAN-SP	PUBLICO|PRIVADO|NAO DISPONIVEL	sim	
latitude	Latitude (y)	Coordenadas geográficas (latitude) do local onde ocorreu o sinistro, em WGS84 (EPSG:4326)	float64	Número decimal	PC, PM e PRF		sim	
longitude	Longitude (x)	Coordenadas geográficas (longitude) do local onde ocorreu o sinistro, em WGS84 (EPSG:4326)	float64	Número decimal	PC, PM e PRF		sim	
cod_ibge	Código IBGE	Código do município no IBGE	int64	Número inteiro	IBGE	Número inteiro de 7 algarismos	não	Códigos IBGE individuais para cada município do estado de São Paulo.
municipio	Município	Município onde ocorreu o sinistro	string	Texto predefinido	PC, PM e PRF	Valores da lista de municípios	não	Nomes dos 645 municípios do estado de São Paulo em caixa alta, sem acento.
